                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     94,                0.76178,                0.49987,                0.89028,                0.90618,                0.91353,                 0.9321,                0.80665,                0.70605,                0.43748,                0.87064,             0.00035995,             0.00035995,             0.00035995
                     95,                0.77177,                0.50636,                0.91676,                0.90618,                0.91353,                 0.9321,                0.80665,                0.70605,                0.43748,                0.87064,             0.00035664,             0.00035664,             0.00035664
                     96,                0.74443,                0.50483,                0.89947,                0.92142,                0.91331,                0.93415,                 0.8109,                0.70824,                0.43601,                0.87047,             0.00035334,             0.00035334,             0.00035334
                     97,                0.77528,                0.50397,                  0.897,                0.92411,                0.91269,                0.93672,                0.81521,                0.71948,                0.43777,                0.86964,             0.00035004,             0.00035004,             0.00035004
                     98,                 0.7636,                0.47945,                0.88105,                0.93283,                0.91156,                0.93655,                0.81928,                0.70103,                0.43128,                0.86746,             0.00034674,             0.00034674,             0.00034674
                     99,                0.73974,                0.48477,                0.89083,                0.90423,                0.91212,                0.93423,                0.81356,                0.69748,                0.43537,                0.86683,             0.00034344,             0.00034344,             0.00034344
                    100,                 0.7151,                0.47148,                0.87955,                0.90423,                0.91212,                0.93423,                0.81356,                0.69748,                0.43537,                0.86683,             0.00034014,             0.00034014,             0.00034014
                    101,                0.71999,                0.46916,                0.87609,                0.90528,                0.90981,                0.93324,                0.81062,                0.69411,                0.43411,                0.86739,             0.00033683,             0.00033683,             0.00033683
                    102,                0.74404,                0.47025,                0.88204,                0.91925,                0.90781,                0.93602,                0.81024,                0.68175,                0.43426,                0.86522,             0.00033353,             0.00033353,             0.00033353
                    103,                 0.7585,                0.47909,                 0.8915,                0.89495,                0.91423,                0.93531,                0.81254,                 0.6883,                0.45172,                0.86434,             0.00033023,             0.00033023,             0.00033023
                    104,                0.74071,                0.47291,                0.88149,                0.89487,                0.91293,                0.93528,                0.81324,                0.68939,                0.44352,                0.86397,             0.00032693,             0.00032693,             0.00032693
                    105,                0.74316,                0.48267,                0.87807,                0.89487,                0.91293,                0.93528,                0.81324,                0.68939,                0.44352,                0.86397,             0.00032363,             0.00032363,             0.00032363
                    106,                0.74762,                0.48225,                0.89081,                0.91976,                0.91488,                0.93367,                0.80896,                0.68272,                0.43234,                0.86328,             0.00032033,             0.00032033,             0.00032033
                    107,                0.74154,                 0.4917,                0.88722,                0.91232,                0.92665,                0.93482,                0.81487,                0.67745,                 0.4241,                0.86318,             0.00031703,             0.00031703,             0.00031703
                    108,                0.73153,                0.48185,                0.89609,                0.92835,                0.92485,                0.93541,                0.81781,                0.67178,                0.41923,                0.86174,             0.00031372,             0.00031372,             0.00031372
                    109,                0.71649,                0.47255,                0.86813,                0.93489,                0.91553,                0.93403,                0.82176,                0.66737,                0.41918,                0.85971,             0.00031042,             0.00031042,             0.00031042
                    110,                0.70474,                0.46838,                0.87317,                0.93728,                0.91551,                0.93576,                 0.8175,                0.66556,                0.41721,                0.85907,             0.00030712,             0.00030712,             0.00030712
                    111,                0.71498,                0.47176,                 0.8787,                0.93728,                0.91551,                0.93576,                 0.8175,                0.66556,                0.41721,                0.85907,             0.00030382,             0.00030382,             0.00030382
                    112,                0.70054,                0.45313,                0.86923,                0.93876,                0.91487,                0.93585,                0.82221,                0.67196,                0.41565,                0.85908,             0.00030052,             0.00030052,             0.00030052
                    113,                0.71645,                0.46342,                0.87622,                0.93374,                0.91862,                0.93577,                0.82138,                0.68556,                0.41817,                0.85823,             0.00029722,             0.00029722,             0.00029722
                    114,                0.71719,                0.47905,                0.88843,                0.92537,                0.92124,                0.93355,                0.82525,                0.67032,                0.41834,                0.85676,             0.00029391,             0.00029391,             0.00029391
                    115,                0.70752,                0.45378,                0.87414,                0.91447,                0.92251,                0.93325,                0.82269,                 0.6646,                0.41822,                0.85922,             0.00029061,             0.00029061,             0.00029061
                    116,                0.72311,                0.45982,                0.88184,                0.91447,                0.92251,                0.93325,                0.82269,                 0.6646,                0.41822,                0.85922,             0.00028731,             0.00028731,             0.00028731
                    117,                0.72953,                0.48162,                0.89026,                0.92585,                0.92154,                0.93803,                0.82815,                0.66395,                0.41383,                0.85791,             0.00028401,             0.00028401,             0.00028401
                    118,                0.71239,                0.46463,                0.88011,                0.93762,                0.92085,                0.94115,                0.83032,                0.67237,                0.41425,                0.85692,             0.00028071,             0.00028071,             0.00028071
                    119,                0.72767,                0.48176,                0.88161,                0.92747,                0.92857,                0.94178,                0.83085,                0.67959,                0.41406,                0.85771,             0.00027741,             0.00027741,             0.00027741
                    120,                0.70119,                0.46219,                0.86862,                0.93009,                0.91932,                 0.9402,                0.82711,                0.67251,                0.41191,                0.85717,              0.0002741,              0.0002741,              0.0002741
                    121,                0.73707,                0.46713,                0.88114,                0.93009,                0.91932,                 0.9402,                0.82711,                0.67251,                0.41191,                0.85717,              0.0002708,              0.0002708,              0.0002708
                    122,                0.68875,                0.45923,                 0.8606,                0.92228,                0.91887,                0.93909,                0.82528,                0.67049,                0.41708,                0.85664,              0.0002675,              0.0002675,              0.0002675
                    123,                0.72654,                0.47015,                0.87829,                0.92172,                 0.9144,                0.93782,                0.83034,                0.68134,                0.42585,                0.85622,              0.0002642,              0.0002642,              0.0002642
                    124,                0.70832,                0.46108,                0.87448,                0.92911,                0.91577,                0.94055,                0.83038,                 0.6819,                0.42256,                0.85652,              0.0002609,              0.0002609,              0.0002609
                    125,                0.69302,                0.44892,                0.86429,                0.92552,                0.92586,                 0.9409,                 0.8336,                0.65707,                0.41038,                0.85482,              0.0002576,              0.0002576,              0.0002576
                    126,                 0.7155,                0.46548,                 0.8759,                0.93024,                0.92539,                0.94261,                 0.8345,                0.65135,                0.40486,                0.85513,             0.00025429,             0.00025429,             0.00025429
                    127,                0.70943,                0.45029,                0.87613,                0.93024,                0.92539,                0.94261,                 0.8345,                0.65135,                0.40486,                0.85513,             0.00025099,             0.00025099,             0.00025099
                    128,                 0.7088,                0.44816,                0.87935,                0.92619,                0.92726,                0.94127,                0.83552,                0.65385,                0.40435,                0.85378,             0.00024769,             0.00024769,             0.00024769
                    129,                0.71618,                0.45328,                0.87282,                0.92637,                0.92458,                0.94034,                0.83742,                 0.6574,                0.40377,                0.85301,             0.00024439,             0.00024439,             0.00024439
                    130,                0.70518,                 0.4604,                0.88751,                0.92853,                0.92722,                0.94161,                0.83993,                 0.6404,                0.39882,                0.85193,             0.00024109,             0.00024109,             0.00024109
                    131,                0.69805,                0.45281,                0.86834,                0.93536,                0.92772,                0.94224,                0.83659,                0.63905,                0.39572,                 0.8526,             0.00023779,             0.00023779,             0.00023779
                    132,                0.70318,                0.44833,                0.87724,                0.93536,                0.92772,                0.94224,                0.83659,                0.63905,                0.39572,                 0.8526,             0.00023448,             0.00023448,             0.00023448
                    133,                0.71009,                0.44329,                0.88524,                0.93821,                0.92676,                0.94424,                0.83926,                0.64627,                0.39619,                0.85398,             0.00023118,             0.00023118,             0.00023118
                    134,                0.73267,                0.46377,                0.88631,                0.92673,                0.92996,                0.94224,                0.83635,                0.64549,                0.39684,                0.85239,             0.00022788,             0.00022788,             0.00022788
                    135,                0.69085,                0.45085,                0.87273,                0.92704,                0.93028,                0.94296,                 0.8348,                0.64619,                0.39662,                0.85081,             0.00022458,             0.00022458,             0.00022458
                    136,                 0.7023,                0.44696,                0.87899,                0.92737,                0.93095,                0.94389,                0.83752,                0.63625,                0.39324,                0.85063,             0.00022128,             0.00022128,             0.00022128
                    137,                 0.7085,                0.45798,                0.86289,                0.92737,                0.93095,                0.94389,                0.83752,                0.63625,                0.39324,                0.85063,             0.00021798,             0.00021798,             0.00021798
                    138,                0.66723,                0.42645,                0.85653,                0.92791,                0.92811,                 0.9463,                0.83999,                0.63545,                0.39305,                0.85122,             0.00021467,             0.00021467,             0.00021467
                    139,                0.73734,                0.46109,                0.88502,                0.92533,                 0.9277,                0.94655,                0.83652,                 0.6395,                0.39345,                0.85152,             0.00021137,             0.00021137,             0.00021137
                    140,                0.70577,                0.44538,                0.87852,                0.92394,                0.93036,                0.94658,                0.84159,                0.64128,                0.39278,                0.85133,             0.00020807,             0.00020807,             0.00020807
                    141,                0.69409,                0.44756,                0.86204,                 0.9323,                0.92937,                0.94788,                0.84604,                 0.6505,                0.39361,                0.85269,             0.00020477,             0.00020477,             0.00020477
                    142,                0.70117,                0.43271,                0.86857,                0.93934,                0.92946,                 0.9491,                0.85252,                0.63932,                0.39116,                0.85052,             0.00020147,             0.00020147,             0.00020147
                    143,                0.69629,                0.44309,                0.86836,                0.93934,                0.92946,                 0.9491,                0.85252,                0.63932,                0.39116,                0.85052,             0.00019817,             0.00019817,             0.00019817
                    144,                  0.695,                0.43208,                0.87916,                0.94209,                0.93071,                0.94865,                0.85812,                0.62433,                0.38635,                0.84794,             0.00019486,             0.00019486,             0.00019486
                    145,                0.65985,                0.41574,                0.86203,                0.93693,                0.93233,                0.94884,                0.85699,                0.62318,                0.38291,                0.84784,             0.00019156,             0.00019156,             0.00019156
                    146,                0.68975,                0.43557,                0.86236,                0.93403,                0.93059,                0.94613,                0.85587,                0.62613,                0.38304,                 0.8473,             0.00018826,             0.00018826,             0.00018826
                    147,                0.66394,                 0.4254,                0.85684,                0.93059,                0.93068,                0.94681,                0.85361,                0.63336,                0.38529,                0.84738,             0.00018496,             0.00018496,             0.00018496
                    148,                0.66625,                0.43203,                0.87645,                0.93059,                0.93068,                0.94681,                0.85361,                0.63336,                0.38529,                0.84738,             0.00018166,             0.00018166,             0.00018166
                    149,                0.66821,                0.42799,                0.87878,                0.93369,                0.92845,                0.94835,                0.85292,                0.63307,                0.38641,                0.84753,             0.00017836,             0.00017836,             0.00017836
