                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                0.86648,                0.82703,                0.94322,                0.76593,                0.66713,                0.70986,                 0.5565,                0.83026,                0.72019,                0.92373,             0.00019442,             0.00019442,             0.00019442
                     52,                0.85922,                 0.8578,                0.93664,                0.78399,                0.66968,                0.71968,                0.57104,                0.81658,                0.71775,                0.92068,             0.00019061,             0.00019061,             0.00019061
                     53,                0.89773,                 0.8525,                0.95129,                0.79229,                0.67602,                0.71682,                0.57594,                0.79135,                 0.7035,                0.91696,              0.0001868,              0.0001868,              0.0001868
                     54,                0.84735,                0.82726,                0.94008,                0.79229,                0.67602,                0.71682,                0.57594,                0.79135,                 0.7035,                0.91696,             0.00018299,             0.00018299,             0.00018299
                     55,                  0.895,                0.85389,                0.95473,                0.79375,                0.67399,                0.72539,                0.58211,                0.77904,                0.68635,                 0.9132,             0.00017918,             0.00017918,             0.00017918
                     56,                0.87279,                0.78402,                0.92756,                 0.7961,                0.67029,                0.73592,                0.58411,                0.77545,                0.68107,                0.91002,             0.00017537,             0.00017537,             0.00017537
                     57,                0.84674,                0.81577,                 0.9215,                0.79709,                0.67322,                0.73882,                0.58553,                0.77925,                0.68448,                0.91033,             0.00017156,             0.00017156,             0.00017156
                     58,                0.84582,                 0.7367,                  0.923,                0.81455,                0.66552,                0.74402,                0.59469,                0.78402,                0.68452,                0.91154,             0.00016774,             0.00016774,             0.00016774
                     59,                0.87478,                0.75104,                0.93125,                0.82133,                0.66015,                0.74815,                0.59881,                0.77908,                0.67892,                0.91124,             0.00016393,             0.00016393,             0.00016393
                     60,                0.82009,                0.85065,                0.92566,                0.82599,                0.66313,                0.75346,                0.60737,                0.77353,                0.67889,                0.91083,             0.00016012,             0.00016012,             0.00016012
                     61,                0.82504,                0.77735,                 0.9244,                0.71579,                0.74582,                0.77348,                0.62268,                0.77284,                0.66462,                 0.9114,             0.00015631,             0.00015631,             0.00015631
                     62,                0.87147,                0.81448,                0.92755,                0.71579,                0.74582,                0.77348,                0.62268,                0.77284,                0.66462,                 0.9114,              0.0001525,              0.0001525,              0.0001525
                     63,                0.82685,                0.75743,                0.90594,                0.70932,                 0.7557,                0.77491,                0.62471,                0.76905,                0.64532,                 0.9104,             0.00014869,             0.00014869,             0.00014869
                     64,                0.86078,                0.78107,                0.93443,                 0.7152,                 0.7464,                0.78028,                0.62597,                0.76894,                0.63256,                 0.9105,             0.00014488,             0.00014488,             0.00014488
                     65,                0.85163,                0.73983,                0.93154,                0.72288,                0.74649,                0.77896,                0.62548,                0.77389,                0.62724,                0.91136,             0.00014106,             0.00014106,             0.00014106
                     66,                0.82408,                0.77551,                0.92203,                0.71388,                 0.7606,                0.78148,                0.62709,                0.76768,                0.62508,                0.90935,             0.00013725,             0.00013725,             0.00013725
                     67,                0.84232,                0.76609,                0.92642,                0.73627,                0.77445,                0.78679,                0.63859,                0.75412,                0.61699,                0.90545,             0.00013344,             0.00013344,             0.00013344
                     68,                 0.8194,                0.71814,                0.91182,                0.77258,                0.78687,                0.78924,                  0.649,                 0.7457,                0.61174,                0.90294,             0.00012963,             0.00012963,             0.00012963
                     69,                0.81009,                0.84057,                0.90162,                0.76636,                0.78416,                0.78995,                0.64633,                0.73974,                 0.6185,                0.90026,             0.00012582,             0.00012582,             0.00012582
                     70,                0.81435,                0.78606,                0.92866,                0.76636,                0.78416,                0.78995,                0.64633,                0.73974,                 0.6185,                0.90026,             0.00012201,             0.00012201,             0.00012201
                     71,                0.82666,                0.74701,                0.92683,                0.74306,                0.78501,                0.78879,                0.64472,                0.74094,                0.62103,                0.90049,              0.0001182,              0.0001182,              0.0001182
                     72,                0.80541,                0.80666,                0.92704,                0.74813,                0.79292,                0.79107,                0.64909,                0.73953,                0.61051,                0.90028,             0.00011438,             0.00011438,             0.00011438
                     73,                0.81989,                0.70721,                0.91911,                0.75843,                0.79241,                0.79541,                0.65063,                0.73817,                0.60023,                0.90015,             0.00011057,             0.00011057,             0.00011057
                     74,                0.82648,                 0.6941,                0.91979,                 0.7911,                0.78297,                0.79966,                0.65129,                0.73344,                0.58931,                0.90037,             0.00010676,             0.00010676,             0.00010676
