                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                0.93043,                0.78502,                 0.9551,                0.71946,                0.70551,                0.72383,                0.56916,                0.89659,                0.64784,                0.93272,              0.0001868,              0.0001868,              0.0001868
                     54,                0.92198,                0.74309,                0.95173,                0.71946,                0.70551,                0.72383,                0.56916,                0.89659,                0.64784,                0.93272,             0.00018299,             0.00018299,             0.00018299
                     55,                 0.9319,                0.78241,                0.96429,                0.77443,                0.71194,                0.73761,                0.57806,                0.89271,                 0.6375,                0.93094,             0.00017918,             0.00017918,             0.00017918
                     56,                0.90771,                0.69013,                0.93527,                0.79742,                0.72806,                0.74639,                0.58362,                 0.8932,                0.63015,                0.92956,             0.00017537,             0.00017537,             0.00017537
                     57,                0.90717,                0.74921,                0.93934,                0.80542,                0.72236,                0.75298,                0.58863,                0.88027,                0.62093,                0.92506,             0.00017156,             0.00017156,             0.00017156
                     58,                0.90478,                0.69965,                0.93151,                0.80568,                0.71365,                0.75161,                0.59067,                0.87396,                0.61553,                0.92295,             0.00016774,             0.00016774,             0.00016774
                     59,                0.92232,                0.70569,                0.94048,                0.81726,                0.70173,                0.75338,                0.58623,                0.87054,                0.61502,                0.92199,             0.00016393,             0.00016393,             0.00016393
                     60,                0.91385,                0.79649,                0.95515,                 0.8406,                0.68825,                0.74629,                0.58034,                0.87209,                0.61176,                0.92244,             0.00016012,             0.00016012,             0.00016012
                     61,                0.87211,                0.71027,                0.92624,                0.83431,                0.69762,                 0.7503,                0.58193,                0.87907,                0.60852,                0.92342,             0.00015631,             0.00015631,             0.00015631
                     62,                0.93962,                0.69702,                0.95009,                0.83431,                0.69762,                 0.7503,                0.58193,                0.87907,                0.60852,                0.92342,              0.0001525,              0.0001525,              0.0001525
                     63,                0.90313,                0.67944,                0.92365,                0.84959,                0.69361,                0.75851,                0.58807,                0.87804,                0.59966,                0.92343,             0.00014869,             0.00014869,             0.00014869
                     64,                0.90229,                0.71864,                0.94086,                0.85406,                 0.6918,                0.76547,                0.59622,                0.86529,                0.58744,                0.92145,             0.00014488,             0.00014488,             0.00014488
                     65,                 0.9023,                0.65657,                0.93422,                0.82715,                0.71844,                0.76622,                0.59604,                0.85627,                 0.5796,                0.91928,             0.00014106,             0.00014106,             0.00014106
                     66,                0.88437,                0.70341,                0.92068,                0.86265,                0.71557,                0.76752,                0.59625,                0.85517,                0.57952,                0.91859,             0.00013725,             0.00013725,             0.00013725
                     67,                0.92335,                0.71247,                 0.9399,                0.86201,                0.72347,                 0.7701,                0.60054,                0.85647,                0.58362,                0.91905,             0.00013344,             0.00013344,             0.00013344
                     68,                0.88793,                0.67236,                0.93068,                 0.8875,                0.72233,                0.77545,                 0.6084,                0.85565,                0.58306,                0.91864,             0.00012963,             0.00012963,             0.00012963
                     69,                0.88283,                0.65153,                0.91185,                0.80594,                0.75518,                0.78254,                0.61197,                0.85311,                0.57774,                 0.9172,             0.00012582,             0.00012582,             0.00012582
                     70,                0.86296,                0.67902,                0.93099,                0.80594,                0.75518,                0.78254,                0.61197,                0.85311,                0.57774,                 0.9172,             0.00012201,             0.00012201,             0.00012201
                     71,                0.89404,                0.67165,                0.93445,                0.78322,                0.75676,                0.78289,                0.61332,                0.84501,                0.56959,                0.91458,              0.0001182,              0.0001182,              0.0001182
                     72,                0.90393,                0.74837,                  0.951,                0.79146,                0.75059,                0.78522,                0.61928,                0.83712,                0.56242,                 0.9128,             0.00011438,             0.00011438,             0.00011438
                     73,                0.88304,                 0.6353,                 0.9194,                0.84542,                0.73326,                0.79026,                0.62473,                 0.8344,                0.55769,                0.91231,             0.00011057,             0.00011057,             0.00011057
                     74,                0.88214,                0.63682,                 0.9322,                0.79536,                0.75676,                0.79201,                 0.6276,                 0.8328,                0.55414,                0.91219,             0.00010676,             0.00010676,             0.00010676
                     75,                0.87743,                 0.6568,                0.93719,                0.83522,                  0.749,                0.79493,                0.62941,                0.82916,                 0.5482,                 0.9108,             0.00010295,             0.00010295,             0.00010295
